['', '/', 0, 'dir']
['/zjhqnlrr/ddzmvh/pvdwhmcr/prtqcb/dtr/', 'zwcd.dqb', '15320', 'file']
['/zjhqnlrr/ddzmvh/pvdwhmcr/prtqcb/dtr/', 'gqlg', 0, 'dir']
['/zjhqnlrr/ddzmvh/pvdwhmcr/prtqcb/dtr/gqlg/', 'jjhc.tzr', '285009', 'file']
['/zjhqnlrr/ddzmvh/pvdwhmcr/prtqcb/dtr/gqlg/', 'nhnlcjjt.zlj', '125691', 'file']
['/zjhqnlrr/ddzmvh/pvdwhmcr/prtqcb/dtr/gqlg/', 'rzsrp.rll', '54424', 'file']
['/zjhqnlrr/ddzmvh/pvdwhmcr/prtqcb/dtr/', 'grwpbs', 0, 'dir']
['/zjhqnlrr/ddzmvh/pvdwhmcr/prtqcb/dtr/grwpbs/', 'rzsrp.cms', '59390', 'file']
['/zjhqnlrr/ddzmvh/pvdwhmcr/prtqcb/dtr/', 'hgrnmh', 0, 'dir']
['/zjhqnlrr/ddzmvh/pvdwhmcr/prtqcb/dtr/hgrnmh/', 'lvtnqqdh.nzq', '185747', 'file']
['/zjhqnlrr/ddzmvh/pvdwhmcr/prtqcb/', 'rzsrp', 0, 'dir']
['/zjhqnlrr/ddzmvh/pvdwhmcr/prtqcb/rzsrp/', 'hvvpfd.smn', '268631', 'file']
['/zjhqnlrr/ddzmvh/pvdwhmcr/prtqcb/rzsrp/', 'tcrctpb.pcc', '263890', 'file']
['/zjhqnlrr/ddzmvh/pvdwhmcr/', 'rmn', 0, 'dir']
['/zjhqnlrr/ddzmvh/pvdwhmcr/rmn/', 'hqb.fwh', '205894', 'file']
['/zjhqnlrr/ddzmvh/pvdwhmcr/rmn/', 'lvvmjb.scj', '280887', 'file']
['/zjhqnlrr/ddzmvh/pvdwhmcr/rmn/', 'gtnvc', 0, 'dir']
['/zjhqnlrr/ddzmvh/pvdwhmcr/rmn/gtnvc/', 'jjhc.tzr', '28523', 'file']
['/zjhqnlrr/ddzmvh/pvdwhmcr/rmn/', 'rsnqlfsz', 0, 'dir']
['/zjhqnlrr/ddzmvh/pvdwhmcr/rmn/rsnqlfsz/', 'hgrnmh', 0, 'dir']
['/zjhqnlrr/ddzmvh/pvdwhmcr/rmn/rsnqlfsz/hgrnmh/', 'fvqbtm.tch', '183216', 'file']
['/zjhqnlrr/ddzmvh/pvdwhmcr/rmn/rsnqlfsz/', 'nsfhtthc', 0, 'dir']
['/zjhqnlrr/ddzmvh/pvdwhmcr/rmn/rsnqlfsz/nsfhtthc/', 'jspmbh.rvh', '284747', 'file']
['/zjhqnlrr/ddzmvh/pvdwhmcr/', 'shlhgj', 0, 'dir']
['/zjhqnlrr/ddzmvh/pvdwhmcr/shlhgj/', 'dzf', '144391', 'file']
['/zjhqnlrr/ddzmvh/pvdwhmcr/shlhgj/', 'nhlmsd.mnc', '178083', 'file']
['/zjhqnlrr/ddzmvh/pvdwhmcr/shlhgj/', 'shlhgj.qss', '173833', 'file']
['/zjhqnlrr/ddzmvh/pvdwhmcr/shlhgj/', 'tnflwcsn', '39183', 'file']
['/zjhqnlrr/ddzmvh/pvdwhmcr/shlhgj/', 'zfn.hjr', '125029', 'file']
['/zjhqnlrr/ddzmvh/pvdwhmcr/shlhgj/', 'lrths', 0, 'dir']
['/zjhqnlrr/ddzmvh/pvdwhmcr/shlhgj/lrths/', 'rzsrp.gbc', '86563', 'file']
['/zjhqnlrr/ddzmvh/pvdwhmcr/shlhgj/lrths/', 'tmhnc.hmc', '280631', 'file']
['/zjhqnlrr/ddzmvh/pvdwhmcr/shlhgj/lrths/', 'ttsnjc.rhm', '28181', 'file']
['/zjhqnlrr/ddzmvh/pvdwhmcr/shlhgj/lrths/', 'vdmr.czg', '98060', 'file']
['/zjhqnlrr/ddzmvh/pvdwhmcr/shlhgj/lrths/', 'zfn.pqp', '210337', 'file']
['/zjhqnlrr/ddzmvh/pvdwhmcr/shlhgj/lrths/', 'hgrnmh', 0, 'dir']
['/zjhqnlrr/ddzmvh/pvdwhmcr/shlhgj/lrths/hgrnmh/', 'mvrlcvj', 0, 'dir']
['/zjhqnlrr/ddzmvh/pvdwhmcr/shlhgj/lrths/hgrnmh/mvrlcvj/', 'vssbr.qjm', '121034', 'file']
['/zjhqnlrr/ddzmvh/pvdwhmcr/shlhgj/lrths/', 'pfc', 0, 'dir']
['/zjhqnlrr/ddzmvh/pvdwhmcr/shlhgj/lrths/pfc/', 'gqlg', 0, 'dir']
['/zjhqnlrr/ddzmvh/pvdwhmcr/shlhgj/lrths/pfc/gqlg/', 'hdhn.wds', '305519', 'file']
['/zjhqnlrr/ddzmvh/pvdwhmcr/shlhgj/lrths/', 'vlshvmvj', 0, 'dir']
['/zjhqnlrr/ddzmvh/pvdwhmcr/shlhgj/lrths/vlshvmvj/', 'lflcgss.jrm', '56641', 'file']
['/zjhqnlrr/ddzmvh/pvdwhmcr/shlhgj/lrths/vlshvmvj/', 'rzsrp.vsh', '29190', 'file']
['/zjhqnlrr/ddzmvh/pvdwhmcr/shlhgj/lrths/vlshvmvj/', 'zcmfcjhf.tzw', '36663', 'file']
['/zjhqnlrr/ddzmvh/pvdwhmcr/shlhgj/lrths/', 'wsn', 0, 'dir']
['/zjhqnlrr/ddzmvh/pvdwhmcr/shlhgj/lrths/wsn/', 'gmdfbfjf.crs', '137307', 'file']
['/zjhqnlrr/ddzmvh/pvdwhmcr/shlhgj/lrths/wsn/', 'lflcgss.jrm', '297924', 'file']
['/zjhqnlrr/ddzmvh/pvdwhmcr/shlhgj/lrths/wsn/', 'hgtqj', 0, 'dir']
['/zjhqnlrr/ddzmvh/pvdwhmcr/shlhgj/lrths/wsn/hgtqj/', 'qnlszftb.bzg', '214202', 'file']
['/zjhqnlrr/ddzmvh/pvdwhmcr/shlhgj/lrths/wsn/', 'shlhgj', 0, 'dir']
['/zjhqnlrr/ddzmvh/pvdwhmcr/shlhgj/lrths/wsn/shlhgj/', 'pmldlbbh', 0, 'dir']
['/zjhqnlrr/ddzmvh/pvdwhmcr/shlhgj/lrths/wsn/shlhgj/pmldlbbh/', 'zwfptl.wsh', '263722', 'file']
['/zjhqnlrr/ddzmvh/pvdwhmcr/shlhgj/', 'rwn', 0, 'dir']
['/zjhqnlrr/ddzmvh/pvdwhmcr/shlhgj/rwn/', 'ttqg.qct', '279589', 'file']
['/zjhqnlrr/ddzmvh/pvdwhmcr/', 'tmzcmb', 0, 'dir']
['/zjhqnlrr/ddzmvh/pvdwhmcr/tmzcmb/', 'jjhc.tzr', '138557', 'file']
['/zjhqnlrr/ddzmvh/pvdwhmcr/', 'vlbqvps', 0, 'dir']
['/zjhqnlrr/ddzmvh/pvdwhmcr/vlbqvps/', 'rzsrp', '123659', 'file']
['/zjhqnlrr/ddzmvh/pvdwhmcr/vlbqvps/', 'nmfnf', 0, 'dir']
['/zjhqnlrr/ddzmvh/pvdwhmcr/vlbqvps/nmfnf/', 'trzvzvgz.bqp', '50537', 'file']
['/zjhqnlrr/ddzmvh/pvdwhmcr/vlbqvps/nmfnf/', 'vps', '41828', 'file']
['/zjhqnlrr/ddzmvh/pvdwhmcr/vlbqvps/nmfnf/', 'wlwt.ftj', '195245', 'file']
['/zjhqnlrr/ddzmvh/pvdwhmcr/vlbqvps/nmfnf/', 'jhpnd', 0, 'dir']
['/zjhqnlrr/ddzmvh/pvdwhmcr/vlbqvps/nmfnf/jhpnd/', 'shlhgj.fwz', '257519', 'file']
['/zjhqnlrr/ddzmvh/pvdwhmcr/vlbqvps/nmfnf/jhpnd/', 'wzmbdtz', '32963', 'file']
['/zjhqnlrr/ddzmvh/pvdwhmcr/', 'wmmfp', 0, 'dir']
['/zjhqnlrr/ddzmvh/pvdwhmcr/wmmfp/', 'lflcgss.jrm', '94749', 'file']
['/zjhqnlrr/', 'dsjd', 0, 'dir']
['/zjhqnlrr/dsjd/', 'bjvwg.phz', '284923', 'file']
['/zjhqnlrr/dsjd/', 'jjhc.tzr', '8771', 'file']
['/zjhqnlrr/dsjd/', 'qbtn.vps', '271995', 'file']
['/zjhqnlrr/dsjd/', 'shlhgj.crl', '299501', 'file']
['/zjhqnlrr/dsjd/', 'bwjp', 0, 'dir']
['/zjhqnlrr/dsjd/bwjp/', 'vtrg', '117739', 'file']
['/zjhqnlrr/dsjd/', 'gqlg', 0, 'dir']
['/zjhqnlrr/dsjd/gqlg/', 'hgrnmh.jvw', '159876', 'file']
['/zjhqnlrr/dsjd/gqlg/', 'dwhr', 0, 'dir']
['/zjhqnlrr/dsjd/gqlg/dwhr/', 'gqlg', '193289', 'file']
['/zjhqnlrr/dsjd/gqlg/dwhr/', 'lflcgss.jrm', '171323', 'file']
['/zjhqnlrr/dsjd/gqlg/', 'rzsrp', 0, 'dir']
['/zjhqnlrr/dsjd/gqlg/rzsrp/', 'pmsgd', 0, 'dir']
['/zjhqnlrr/dsjd/gqlg/rzsrp/pmsgd/', 'lflcgss.jrm', '12648', 'file']
['/zjhqnlrr/dsjd/gqlg/rzsrp/pmsgd/', 'wbppspwq', 0, 'dir']
['/zjhqnlrr/dsjd/gqlg/rzsrp/pmsgd/wbppspwq/', 'tnflwcsn', '38834', 'file']
['/zjhqnlrr/dsjd/', 'hgrnmh', 0, 'dir']
['/zjhqnlrr/dsjd/hgrnmh/', 'cfdcbvdl.gfs', '76649', 'file']
['/zjhqnlrr/dsjd/hgrnmh/', 'gmmzf', '257249', 'file']
['/zjhqnlrr/dsjd/hgrnmh/', 'lhrtfcz', '83045', 'file']
['/zjhqnlrr/dsjd/', 'jntt', 0, 'dir']
['/zjhqnlrr/dsjd/jntt/', 'lhqvt.lst', '286866', 'file']
['/zjhqnlrr/dsjd/', 'vmph', 0, 'dir']
['/zjhqnlrr/dsjd/vmph/', 'zcmfcjhf.tzw', '19765', 'file']
['/zjhqnlrr/dsjd/vmph/', 'zzsnj.dcp', '204319', 'file']
['/zjhqnlrr/dsjd/vmph/', 'fnvpsr', 0, 'dir']
['/zjhqnlrr/dsjd/vmph/fnvpsr/', 'fvqbtm.tch', '173924', 'file']
['/zjhqnlrr/dsjd/vmph/fnvpsr/', 'mjrhs.scq', '248297', 'file']
['/zjhqnlrr/dsjd/vmph/fnvpsr/', 'zfn', '130580', 'file']
['/zjhqnlrr/dsjd/vmph/fnvpsr/', 'flz', 0, 'dir']
['/zjhqnlrr/dsjd/vmph/fnvpsr/flz/', 'brsgg', '106168', 'file']
['/zjhqnlrr/dsjd/vmph/fnvpsr/', 'rzsrp', 0, 'dir']
['/zjhqnlrr/dsjd/vmph/fnvpsr/rzsrp/', 'hgrnmh.nsl', '221882', 'file']
['/zjhqnlrr/dsjd/vmph/fnvpsr/rzsrp/', 'smd', 0, 'dir']
['/zjhqnlrr/dsjd/vmph/fnvpsr/rzsrp/smd/', 'fvqbtm.tch', '131686', 'file']
['/zjhqnlrr/dsjd/vmph/fnvpsr/rzsrp/smd/', 'hcw', '288283', 'file']
['/zjhqnlrr/dsjd/vmph/fnvpsr/rzsrp/smd/', 'drsld', 0, 'dir']
['/zjhqnlrr/dsjd/vmph/fnvpsr/rzsrp/smd/drsld/', 'zfn.wdf', '85885', 'file']
['/zjhqnlrr/dsjd/vmph/fnvpsr/rzsrp/smd/', 'gqlg', 0, 'dir']
['/zjhqnlrr/dsjd/vmph/fnvpsr/rzsrp/smd/gqlg/', 'dzjtj.zbc', '8466', 'file']
['/zjhqnlrr/dsjd/vmph/', 'gfnvsznj', 0, 'dir']
['/zjhqnlrr/dsjd/vmph/gfnvsznj/', 'gqlg', '265075', 'file']
['/zjhqnlrr/dsjd/vmph/gfnvsznj/', 'hpz', '74385', 'file']
['/zjhqnlrr/dsjd/vmph/gfnvsznj/', 'fqb', 0, 'dir']
['/zjhqnlrr/dsjd/vmph/gfnvsznj/fqb/', 'ccjgpg', '55182', 'file']
['/zjhqnlrr/dsjd/vmph/gfnvsznj/fqb/', 'ppdgwcm.zfb', '245930', 'file']
['/zjhqnlrr/dsjd/vmph/gfnvsznj/fqb/', 'sgtgqdn.tfp', '164364', 'file']
['/zjhqnlrr/dsjd/vmph/gfnvsznj/', 'hdhmbtj', 0, 'dir']
['/zjhqnlrr/dsjd/vmph/gfnvsznj/hdhmbtj/', 'jjhc.tzr', '68609', 'file']
['/zjhqnlrr/dsjd/vmph/gfnvsznj/hdhmbtj/', 'zcmfcjhf.tzw', '66988', 'file']
['/zjhqnlrr/dsjd/vmph/gfnvsznj/hdhmbtj/', 'gqlg', 0, 'dir']
['/zjhqnlrr/dsjd/vmph/gfnvsznj/hdhmbtj/gqlg/', 'tnflwcsn', '156776', 'file']
['/zjhqnlrr/dsjd/vmph/gfnvsznj/hdhmbtj/gqlg/', 'vdcbg', 0, 'dir']
['/zjhqnlrr/dsjd/vmph/gfnvsznj/hdhmbtj/gqlg/vdcbg/', 'lflcgss.jrm', '261780', 'file']
['/zjhqnlrr/dsjd/vmph/gfnvsznj/hdhmbtj/', 'rzsrp', 0, 'dir']
['/zjhqnlrr/dsjd/vmph/gfnvsznj/hdhmbtj/rzsrp/', 'zfn', '27818', 'file']
['/zjhqnlrr/dsjd/vmph/gfnvsznj/hdhmbtj/', 'vrmrnt', 0, 'dir']
['/zjhqnlrr/dsjd/vmph/gfnvsznj/hdhmbtj/vrmrnt/', 'msmzfnj.llc', '273664', 'file']
['/zjhqnlrr/dsjd/vmph/gfnvsznj/hdhmbtj/vrmrnt/', 'svzmwnrq.chh', '145156', 'file']
['/zjhqnlrr/dsjd/vmph/gfnvsznj/', 'lzdq', 0, 'dir']
['/zjhqnlrr/dsjd/vmph/gfnvsznj/lzdq/', 'fms', '214363', 'file']
['/zjhqnlrr/dsjd/vmph/gfnvsznj/lzdq/', 'lfzcgh.dsq', '190021', 'file']
['/zjhqnlrr/dsjd/vmph/gfnvsznj/lzdq/', 'qtvvmj.zqw', '21357', 'file']
['/zjhqnlrr/dsjd/vmph/gfnvsznj/', 'rlvqmwv', 0, 'dir']
['/zjhqnlrr/dsjd/vmph/gfnvsznj/rlvqmwv/', 'gqlg.sdz', '198296', 'file']
['/zjhqnlrr/dsjd/vmph/gfnvsznj/rlvqmwv/', 'gshcswc.dcb', '842', 'file']
['/zjhqnlrr/dsjd/vmph/gfnvsznj/rlvqmwv/', 'snng', '199828', 'file']
['/zjhqnlrr/dsjd/vmph/gfnvsznj/rlvqmwv/', 'gqlg', 0, 'dir']
['/zjhqnlrr/dsjd/vmph/gfnvsznj/rlvqmwv/gqlg/', 'zfn.nsj', '183087', 'file']
['/zjhqnlrr/dsjd/vmph/gfnvsznj/rlvqmwv/', 'shlhgj', 0, 'dir']
['/zjhqnlrr/dsjd/vmph/gfnvsznj/rlvqmwv/shlhgj/', 'tzgjrqmb', '73040', 'file']
['/zjhqnlrr/dsjd/vmph/gfnvsznj/', 'rzsrp', 0, 'dir']
['/zjhqnlrr/dsjd/vmph/gfnvsznj/rzsrp/', 'vtftgng.wfz', '229576', 'file']
['/zjhqnlrr/dsjd/', 'zvg', 0, 'dir']
['/zjhqnlrr/dsjd/zvg/', 'shlhgj.dvf', '85701', 'file']
['/zjhqnlrr/', 'nnzvl', 0, 'dir']
['/zjhqnlrr/nnzvl/', 'wwzsf', 0, 'dir']
['/zjhqnlrr/nnzvl/wwzsf/', 'tvbdz', '105177', 'file']
['/', 'zssdlnc', 0, 'dir']
['/zssdlnc/', 'twdcrh.zld', '166004', 'file']
['/zssdlnc/', 'nfgh', 0, 'dir']
['/zssdlnc/nfgh/', 'fvqbtm.tch', '102281', 'file']
['/zssdlnc/', 'zfn', 0, 'dir']
['/zssdlnc/zfn/', 'shlhgj.cln', '206602', 'file']
['/zssdlnc/zfn/', 'fbmww', 0, 'dir']
['/zssdlnc/zfn/fbmww/', 'fll', '179734', 'file']
['/zssdlnc/zfn/', 'jsst', 0, 'dir']
['/zssdlnc/zfn/jsst/', 'flp', 0, 'dir']
['/zssdlnc/zfn/jsst/flp/', 'gctgt.stn', '32274', 'file']
['/zssdlnc/zfn/jsst/flp/', 'ggvj.bwz', '67650', 'file']
